Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1500-1599,1576 - Gubbio (Italy),Excluded — no locatable site identified,research_findings excluded 7a65f91b-4b23-4bc8-9ea8-3e299d637cad,
1500-1599,May 1576 - Casalbordino (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 794b6fa1-c9d4-4299-ae8d-5a2ab5ad6e27,
1500-1599,"June 7, 1578 - Visora di Conflenti (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 140ff65a-022e-483d-ae71-f6559a909a1a,
1500-1599,Dec 1578 - Poggio di Roio (Italy),Excluded — no locatable site identified,research_findings excluded 08ba8673-976a-4861-be11-989ae9578b81,
1500-1599,1578 - Madrid (Spain),Excluded — no locatable site identified,research_findings excluded a0078d4c-d5e2-408a-a2d2-c3eae2cfd82b,
1500-1599,"July 8, 1579 - Kazan (Russia)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e0603e0d-f893-47ef-b8b6-b397e3b36644,
1500-1599,1580 - Trivento (Italy),Excluded — no locatable site identified,research_findings excluded c0894a18-bbd2-4ba0-bd0e-8ae9b306a1f0,
1500-1599,1580 - Zironi (Spain),Excluded — no locatable site identified,research_findings excluded d274c8fc-d205-43a5-a26c-1fa9c37e6b35,
1500-1599,"July 16, 1580 - Ziteli (Switzerland)","Queued for approval (MiracleHunter link added this pass — was missing; garbled place name — matches candidate via ""Oberhalbstein,"" the region MiracleHunter's own text names)",research_findings candidate cbc386cb-91ea-4690-89b1-565341e096a3,
1500-1599,"June 30, 1582 - Bopfingen, Flochberg (Germany)","Queued for approval (MiracleHunter link added this pass — was missing; MiracleHunter's own text names the pilgrimage site as Unterkochen, near Aalen)",research_findings candidate c4407078-abdb-4272-9b29-64fcabbd9d0b,
1500-1599,1583 - Madrid (Spain),Excluded — no locatable site identified,research_findings excluded 309d8f4b-c851-4c6a-9b2e-9b69939c0b32,aloysius-gonzaga
1500-1599,1584 - Florence (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e25e3e3e-e2f9-4d3f-bc85-181b49622073,mary-magdalene-depazzi
1500-1599,"May 24, 1585 - Pumengo (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 6b25942b-8ae5-426e-9243-23c110511db6,
1500-1599,"August 29, 1585 - Montevarchi, Arezzo, Tuscany (Italy)",Excluded — no locatable site identified,research_findings excluded 48526716-bce8-4597-b7ef-1fd418c418d5,
1500-1599,1587 - Angola (Africa),Excluded — no locatable site identified,research_findings excluded ee556471-dc45-42fe-afc8-bb8c692354db,
1500-1599,1587 - Cologne (Germany),Excluded — no locatable site identified,research_findings excluded 948f9270-9c1d-4433-9c5a-e4267e8eee84,
1500-1599,"July 12, 1586 - Stezzano (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7041b094-57d3-4f32-ba6a-cfcc9c5775da,
1500-1599,1587 - Rome (Italy),Excluded — no locatable site identified,research_findings excluded 86da32dc-8ae4-40fc-b9d9-b68a18411dc9,felix-cantalice
1500-1599,1587 - Rome (Italy),Excluded — no locatable site identified,research_findings excluded 8f723618-5584-411b-a9a2-8a30eca34ec4,
1500-1599,"1587 - Médous, Bagnères-de-Bigorre (France)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 1d17baba-cd49-4760-be23-41f84e177b9a,
1500-1599,1588 - Naples (Italy),Excluded — no locatable site identified,research_findings excluded 8d8b57ed-c93f-4313-a211-fafe88bf5e28,
1500-1599,"Janary 7, 1588 - Costa di Folgaria (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate efce4ee0-9207-4cd0-b7a6-f400e9f09dd8,
1500-1599,1590 - Brac (Portugal),Excluded — no locatable site identified,research_findings excluded 3bb843f3-b659-4703-9980-a66712d2ea06,
1500-1599,1588 - Salutio (Italy),Excluded — no locatable site identified,research_findings excluded 447645ac-d865-4523-b970-c2bdaf899999,
1500-1599,"1589 - Tabacué, Corrientes (Argentina)","Queued for approval (MiracleHunter link added this pass — was missing; matched via Itatí, the modern name of this shrine)",research_findings candidate 2a2e357a-115a-451b-91a0-1aec64e76b76,
1500-1599,c. 1590 - Lima (Peru),Excluded — no locatable site identified,research_findings excluded 8c7544eb-ed18-4ab8-86ec-74ffe896f658,
1500-1599,1591 - Proceno (Lazio),Excluded — no locatable site identified,research_findings excluded 23342ce2-843a-4e6a-bc00-c6a8a79f7b17,alphonsus-orozco
1500-1599,"July 29, 1594 - Inferior Morbio (Switzerland)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 1f99c9bf-e9b2-4dcf-86c1-5b0717a7a0c3,
1500-1599,1594 - Acquasparta (Italy),Excluded — no locatable site identified,research_findings excluded 2c648608-cfee-4ee6-94bc-9ee830bad100,
1500-1599,1594 - Quito (Ecuador),Queued for approval,research_findings candidate 276096a8-cf23-4602-ab81-5fa3a5c5158e,
1500-1599,"September 11, 1595 - Monte Bonicca (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7a1fee3b-19c7-4c99-8a89-9693e9d073bf,
1500-1599,"1596 - Arona, Piedmont (Italy)",Excluded — no locatable site identified,research_findings excluded 6d759f1b-6329-41da-b9cc-5b72693f7b9d,
1500-1599,1598 - Puy (France),Excluded — no locatable site identified,research_findings excluded 709b1996-ebb4-4239-9684-414d49612105,
1500-1599,End of 16th c. - Molare (Italy),Excluded — no locatable site identified,research_findings excluded 9d7f48f1-654a-48c5-ad67-f470178b9297,
1500-1599,1550 - Granada (Spain),Excluded — no locatable site identified,research_findings excluded 29bbace0-6caa-4439-9707-9b23731a0bfa,john-of-god
1500-1599,1550 - Lisbon (Portugal),Excluded — no locatable site identified,research_findings excluded 5284209b-52a4-4cf5-98df-cdd281bd7ed9,
1500-1599,1559 - Monomotapa (Rhodes),Excluded — no locatable site identified,research_findings excluded ad04f97e-2f06-4323-b42f-9917f53ffeff,
1500-1599,1568 - Amendolara (Calabria),Excluded — no locatable site identified,research_findings excluded e4e18727-207e-4618-b997-e5af32a305f1,
1500-1599,"1568 - Ancona (Marche, Italy)",Excluded — no locatable site identified,research_findings excluded 65bc258a-b56d-4733-935d-0e7feff07b02,
1500-1599,1569 - Faenza (Marche),Excluded — no locatable site identified,research_findings excluded 73a6e8f1-7878-409e-ac62-e99c860e20af,
1500-1599,1569 - Máriagyüd (Hungary),Queued for approval (MiracleHunter link added this pass — was missing; entry was omitted from the first extraction pass because its year wasn't bold-formatted in the source table — caught on a full re-scan before finalizing),research_findings candidate d981f0de-ce1b-465c-9620-b389a460776f,
1500-1599,1570 - Seville (Spain),Excluded — no locatable site identified,research_findings excluded e7d40cbc-fe7e-49f6-a1f4-9e8f77441718,
1500-1599,1573 - Languedoc (France),Excluded — no locatable site identified,research_findings excluded 0f2d033d-84a6-4f88-be95-7961da5c520e,
1500-1599,1576 - Nursia (Italy),Excluded — no locatable site identified,research_findings excluded 7892c5c4-385f-4b82-ab79-39cdc7a32f06,
1500-1599,1581 - Lowen (Belgium),"Excluded — no locatable site identified (distinct from the 1543 Lowen/Cornelius Wischaven entry above — different visionary, Fr. Henry Calstro, OP)",research_findings excluded 102e407c-1511-4503-8db9-096e7da9f7c8,
1500-1599,1582 - Plouguerneau (France),Excluded — no locatable site identified,research_findings excluded b42cd878-0eae-4a6a-b544-5910a9e217ad,
1500-1599,1595 - Dijon (France),Excluded — no locatable site identified,research_findings excluded d854b2c2-7325-4f57-84da-477a064b7e8a,
1500-1599,1597 - Fribourg (Switzerland),Excluded — no locatable site identified,research_findings excluded dc7c2070-03fc-4877-8919-aff5e039c26b,peter-canisius
1600-1699,1600 - Bruges (Belgium),Excluded — no locatable site identified,research_findings excluded 7f724ed5-2a0e-4611-adef-cb66848b861c,
1600-1699,1600 - Concepcion (Chile),Excluded — no locatable site identified,research_findings excluded caad30c8-c820-472b-8ac0-60d12f31c83f,
1600-1699,"1600 - Mariahilf, Passali (Germany)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 925f88fa-d269-46ee-b755-24ef11f5adf7,
1600-1699,1600 - Palma de Mallorca (Spain),Excluded — no locatable site identified,research_findings excluded 59d7bfd5-f5c1-40aa-81d2-5dd5d9af4c28,
1600-1699,1601 - Aljubarrota (Portugal),"Queued for approval (cross-page duplicate: same shrine already logged on the 1300-1399 CSV as its own ""Aljubarrota"" entry — Chapel of Our Lady of the Light, Fonte Santa, near Coz, Alcobaça; MiracleHunter link already present from that pass)",research_findings candidate a68d3bc9-61b4-4907-b4dd-03ac1e5eb403,
1600-1699,1601 - San Severino (Italy),Excluded — no locatable site identified,research_findings excluded b1818e22-20f3-4446-bbfc-6fc58959e316,
1600-1699,1601 - Brune (France),Excluded — no locatable site identified,research_findings excluded 872ec661-1f89-4538-a2f1-3ec341b49c15,
1600-1699,1601 - Aleth (France),Excluded — no locatable site identified,research_findings excluded fca38fab-341c-47d2-9595-8998b0649ac9,
1600-1699,1602 - Lampedusa (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 3f9247ee-9835-4f72-951e-45071985a996,
1600-1699,1602 - Rome (Italy),Excluded — no locatable site identified,research_findings excluded 4a399330-b1de-43d8-9e86-540b7dfcc22f,
1600-1699,1602 - Verdun (France),Excluded — no locatable site identified,research_findings excluded 563f40c3-2a35-4c0d-9d00-32244efb979c,
1600-1699,"June 10, 1602 - Monsummano Alto, Pistoia, Tuscany (Italy)","Queued for approval (cross-page duplicate: same shrine/tradition already logged on the 1500-1599 CSV as the ""Jun 9, 1573 Monsummano Terme"" entry)",research_findings candidate 86573423-2839-4324-b47f-653ebedac842,
1600-1699,"Aug 18, 1602 - Borgo Santa Caterina (Lombardia)",Excluded — no locatable site identified,research_findings excluded 5d447618-11ec-48ba-a570-42425f2b26bd,
1600-1699,"Sept 15, 1602 - Lenola (Italy)","Queued for approval (dedicated MiracleHunter subpage link; record corrected this pass — was erroneously marked a stale duplicate with no surviving target found; it is a real, distinct, well-documented shrine, the Sanctuary of Our Lady of the Hill / Madonna del Colle)",research_findings candidate b61c2fad-8581-4d64-8d9b-01199bf3fe39,
1600-1699,1604 - Ingolstadt (Germany),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c709e982-cd26-46b8-958c-c9470cedc257,jakob-rem
1600-1699,1605 - Le Puy en Velay (France),Excluded — no locatable site identified,research_findings excluded 07f70efe-97fe-4d94-a09e-cd9b5b8d1542,
1600-1699,"1606 - Helligwasser, Innsbruck (Austria - Germany)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 4ce55b12-a72f-41d2-8747-c734ec8419be,
1600-1699,"June 5, 1606 - Argenta (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 272c7086-db40-4405-aee3-844cf3f0ee3e,
1600-1699,"June 23, 1607 - Ardesio (Italy)",Queued for approval (dedicated MiracleHunter subpage link added this pass — was missing),research_findings candidate bdf9d70f-37bf-4b4f-84ed-6c0e65c952d3,
1600-1699,1608 - Bamberg (Germany),Excluded — no locatable site identified (new excluded record written this pass — entry was missing from the prior research batch entirely),research_findings excluded 46977a13-37b1-4077-ba3d-bc341b1c0637,
1600-1699,1608 - Florence,Excluded — no locatable site identified (new excluded record written this pass — entry was missing from the prior research batch entirely; distinct from the already-covered Santa Maria degli Angeli / Mary Magdalene de'Pazzi candidate),research_findings excluded 213acaef-040b-4e06-8e05-7f82d513faf6,
1600-1699,1608 - Paris (France),Excluded — no locatable site identified (new excluded record written this pass — entry was missing from the prior research batch entirely),research_findings excluded bf434a0b-f649-4a26-bdc3-f9c8befa438c,
1600-1699,1608 - Siluva (Lithuania),"Approved, in sites (MiracleHunter itself notes BISHOP APPROVED WITH VATICAN RECOGNITION; a proposed_modification research row is pending separate review, no action needed here — tag and link already complete)",https://orbisdei.org/site/lt-siluva-basilica-of-the-nativity-of-the-blessed-virgin-mary,
1600-1699,1608 - Sanlúcar de Barrameda (Spain),Excluded — no locatable site identified (new excluded record written this pass — entry was missing from the prior research batch entirely; one-line entry with no narrative content),research_findings excluded 699b4d61-ae92-49b4-a616-27b8c0878571,
1600-1699,July 1608 - San Bartolomeo al Mare (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 1fa238cd-36b6-4910-8cfd-ee5c4bdabba3,
1600-1699,1609 - Bordeaux (France),Excluded — no locatable site identified,research_findings excluded 44618a18-9ed5-4bde-bbff-4941e6e84bd1,
1600-1699,1609 - Rome (Italy),Excluded — no locatable site identified,research_findings excluded f0e81bec-8dfa-409a-96af-68b1bf039103,
1600-1699,1609 - Le Puy (France),Excluded — no locatable site identified,research_findings excluded 9476fdb9-58eb-43a6-b89c-b8b7e3f9580b,
1600-1699,1610 - Fribourg (Switzerland),Excluded — no locatable site identified,research_findings excluded 57e5ab78-60e5-4eb2-9d9b-897a07d4fc0b,
1600-1699,"1610 - Manaoag, Pangasinan (Philippines)","Approved, in sites (stale duplicate research_findings candidate row already marked duplicate by an earlier pass, pointing here; tag and MiracleHunter link on the published site are both already complete)",https://orbisdei.org/site/ph-manaoag-minor-basilica-of-our-lady-of-the-rosary-of-manaoag,
1600-1699,"1611 - Bingsacan, Taal (Philippines)","Queued for approval (MiracleHunter link added this pass — was missing; same shrine as the 1619 ""Caysasay, Taal"" entry below — recurring apparitions at one site, one candidate record, two MiracleHunter rows)",research_findings candidate ee6840bf-91fe-435d-8f94-f4bba039c50f,
1600-1699,c.1610 - Saragossa (Spain),Excluded — no locatable site identified,research_findings excluded a174f84e-203c-4e9a-8826-c8b969958a5f,
1600-1699,1610 - Malta,Excluded — no locatable site identified,research_findings excluded 95d4356d-c854-40ad-bbf5-12253b494752,
1600-1699,1610 - Rome (Italy),Excluded — no locatable site identified,research_findings excluded 3e333945-d787-480b-9e30-51b598c14456,
1600-1699,1614 - Lublin (Poland),Excluded — no locatable site identified,research_findings excluded 034f0e39-3d31-496d-8207-d415f00e5134,
1600-1699,1614 - Nuremberg (Germany),Excluded — no locatable site identified,research_findings excluded c4b335d9-fa7d-4a36-9508-335ebd56fa8e,
1600-1699,1614 - Paris (France),Excluded — no locatable site identified,research_findings excluded fa3931e0-81be-4deb-91d3-105c0a50d845,
1600-1699,1616 - Philippines,Excluded — no locatable site identified,research_findings excluded 077701e5-95b0-426a-925b-614b51a302af,
1600-1699,"July 5, 1615 - Chioggia (Italy)",Excluded — no locatable site identified,research_findings excluded 22c3ab26-f20c-42bd-bef6-75043a6bbeb4,
1600-1699,1616 - Stans (Switzerland),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 72145992-9b6d-4f01-bd5e-77304bb7f6a4,
1600-1699,"Sept 24, 1616 - Berzo Inferiore (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7a2d6408-d687-4d92-8148-f257e1d25bbd,
1600-1699,"Feb 2, 1617 - Naples (Italy)",Excluded — no locatable site identified,research_findings excluded feed09dc-03e1-4848-a106-e5ebaaba514b,
1600-1699,"May 9, 1617 - Imbersago (Lombardy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 09e5fc5b-e086-4c8e-a172-f3c82abe947e,
1600-1699,"Aug 27, 1619 - Ribordone, Torino, Piedmont (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate a20bb479-ae2b-4475-bc53-b3664eaecf31,
1600-1699,"1619 - Caysasay, Taal (Philippines)","Queued for approval (MiracleHunter link added this pass — was missing; same shrine as the 1611 ""Bingsacan, Taal"" entry above)",research_findings candidate ee6840bf-91fe-435d-8f94-f4bba039c50f,
1600-1699,1617 - Lima (Peru),"Queued for approval (matched to a candidate surfaced by a separate St. Rose of Lima holy-person research pass — Basilica and Convent of Santo Domingo, which MiracleHunter's own text describes as ""Our Lady of the Rosary Church in Lima""; marian-sites tag and MiracleHunter link both added this pass — were missing)",research_findings candidate 937ddfa8-4f95-4ee1-883a-37da5548b70b,"rose-lima, martin-de-porres"
1600-1699,"1620 - Alessandria della Rocca, Sicily (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate bae4735a-fe23-4e1f-8229-ad22cd0b877b,
1600-1699,1620 - Alcoy (Spain),Excluded — no locatable site identified,research_findings excluded 0cf2d7b1-5169-4252-98b0-3bbdfcc69e64,
1600-1699,Feb 1623 - Castel San Pietro (Italy),Excluded — no locatable site identified,research_findings excluded 77fd63ad-520e-4960-b6a8-6a64f3280416,
1600-1699,"June 21, 1623 - Bosentino (Italy)",Excluded — no locatable site identified,research_findings excluded 0dee62c3-f847-4e64-9638-af349289b340,
1600-1699,"June 21, 1623 - Ozegna (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e6e3e17d-31de-4058-9f2b-cf85d5face56,
1600-1699,1623 - Paris (France),Excluded — no locatable site identified,research_findings excluded 4598add5-b16d-43f5-b56e-ed84dc34488f,
1600-1699,1624 - Goa (India),Excluded — no locatable site identified,research_findings excluded 20dac820-80fc-4aae-b079-0b5a47cbdf12,
1600-1699,1625 - Quimper (France),Excluded — no locatable site identified,research_findings excluded e452c277-fe0f-40e9-aa10-a0c38d549ea4,
1600-1699,"1625 - Santa Fe, NM (USA)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 9d88152f-6eb2-48eb-a666-00314341899a,
1600-1699,1625 - Paris (France),Excluded — no locatable site identified,research_findings excluded 7be4e5f8-6f84-42ee-b0f7-7ce9e97516c6,
1600-1699,1627 - Langeac (France),Excluded — no locatable site identified,research_findings excluded 1de31606-0fdf-4e65-ac39-6398cc067674,
1600-1699,1629 - Maria Bildstein (Austria),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 171354ab-533e-4a79-85e9-870e43b7f135,
1600-1699,1630 - São Vicente de Aljubarrota (Portugal),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate a2a4f96a-3bb8-4915-9f8e-1103f5d0cc91,
1600-1699,1630 - Lure (France),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 731f50ae-dd42-4462-a7b6-ac755a2a2f5b,
1600-1699,"June 1, 1630 - Leini, Torino, Piedmont (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate dd619353-2174-480d-a214-ebc7ff31fc4c,
1600-1699,"Sept 30, 1630 - Forno Alpi Graie (Italy)","Queued for approval (MiracleHunter link added this pass — was missing; matched via Groscavallo, the town MiracleHunter's own text names)",research_findings candidate bb01c978-9aa4-4505-857f-97b5d408a034,
1600-1699,"1630 - Gandos di Galleno (Italy, Lombardy, Diocese of Brescia)",Not previously ingested — written as new lead this pass (entry was missing from the prior research batch entirely; web-verified real shrine — Madonna del Rosario di Gandòs at the Church of St. Bartholomew),research_findings lead 04c6d4c6-905f-48c2-b31a-c17a8699bb0b,
1600-1699,1631 - Naples (Italy),Excluded — no locatable site identified,research_findings excluded e7ecd0e9-7b49-4b47-af2a-27608dd5f15b,
1600-1699,"1632 - Cavite City, Cavite (Philippines)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 6f932102-da61-4105-8d55-3f56c9f753c6,
1600-1699,1632 - Japan,Excluded — no locatable site identified,research_findings excluded 0012f6cb-32d7-43d0-b499-8a37e1511391,
1600-1699,1633 - Constance (Germany),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 252fa1fa-cd5a-43ad-9575-49bb9f2ebbfb,
1600-1699,1633 - Lake Huron (Canada),Excluded — no locatable site identified,research_findings excluded 9a9b1e7b-1494-4988-9ce1-48ede3c18725,
1600-1699,"May 19, 1634 - Guiclan (France)",Excluded — no locatable site identified,research_findings excluded 06819b74-14fa-44cb-a2a6-3aea0d9aee55,
1600-1699,"Feb 2, 1634 - Quito (Ecuador)","Queued for approval (cross-page duplicate: same apparition already logged on the 1500-1599 CSV as the ""1594 Quito"" entry — MiracleHunter's own text here notes ""some sources put first apparition date at 1594""; also BISHOP APPROVED per MiracleHunter's own page)",research_findings candidate 276096a8-cf23-4602-ab81-5fa3a5c5158e,
1600-1699,"March 17, 1635 - Bargemon (France)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7ac8f954-1e6d-4dfe-bef1-491b74d06a0e,
1600-1699,1636 - Sinopoli (Calabria),Excluded — no locatable site identified,research_findings excluded 2ed6b049-d748-41d3-8d31-86db6c45870e,
1600-1699,"1637 - Ajaccio, Corsica (France)",Excluded — no locatable site identified,research_findings excluded d81722c4-3557-49f2-9f62-dff4aad32b52,
1600-1699,"Nov 3, 1637 - Frejus (France)","Queued for approval (cross-page duplicate: MiracleHunter's own 1500-1599 page also lists this event as the 1519 Catignac/Cotignac entry, already MiracleHunter-linked from that pass; this row's own markup carried a stray/bogus link to an unrelated Senegal shrine URL — ignored, real record cited instead)",research_findings candidate 0d965ccd-e23c-4613-a831-3640b0b4290e,
1600-1699,1638 - Prague (Czechoslovakia),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate caaa7c76-c718-4511-9b36-fca8111ec328,
1600-1699,1640 - Beaune (France),Excluded — no locatable site identified,research_findings excluded 065c189b-19ba-43db-ad0e-540971f6c678,
1600-1699,1639 - Savigliano (Italy),Excluded — no locatable site identified,research_findings excluded 0ef0eb9e-1ba7-45db-8ace-1d5f2d1b1641,
1600-1699,1640 - Montagnolo-Pinnochio (Italy),Excluded — no locatable site identified,research_findings excluded b6c971b3-99b5-4a83-b557-48180aeac254,
1600-1699,1640 - Cast (France),Excluded — no locatable site identified,research_findings excluded 5888edd4-f445-43c4-9b44-e6613100632a,
1600-1699,1641 - Palizi (Russia),Excluded — no locatable site identified,research_findings excluded ca3f07f5-76e1-4632-9ff7-5910406a3701,
1600-1699,"1641 - Cursi, Puglia (Italy)",Queued for approval (dedicated MiracleHunter subpage link already present),research_findings candidate 84dba800-6a69-4a91-8fc4-41b6d50c0902,
1600-1699,"1642 - ""Our Lady of the Annunciation"" Jesuit Reduction (Uruguay)",Excluded — no locatable site identified,research_findings excluded 0747a375-a0f6-40b8-bd6c-d6cb2e9ad998,
1600-1699,1642 - Maria Taferl (Austria),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c964bbdc-50e0-4b21-86ad-cd482113067c,
1600-1699,1646 - Lake Huron (Canada),Excluded — no locatable site identified,research_findings excluded 8c080aa5-bf29-4b65-9d94-6a6a7aa26ef6,
1600-1699,1647 - Buenos Aires (Argentina),Excluded — no locatable site identified,research_findings excluded a3c00973-4b48-4218-8b0b-e5ad3b60289e,
1600-1699,"July 10, 1647 - Ponzano Magra (Italy)","Queued for approval (within-page duplicate of the ""Aug 23, 1648 Corigliano Calabro"" entry below — identical title ""Our Lady of Schiavonea,"" one candidate record)",research_findings candidate c09bf5d3-9d0b-4535-8fce-9194583456ed,
1600-1699,"Aug 23, 1648 - Corigliano Calabro (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c09bf5d3-9d0b-4535-8fce-9194583456ed,
1600-1699,1649 - Naples (Italy),Excluded — no locatable site identified,research_findings excluded 23228263-f872-40f4-836b-a9836d58eeb1,
1600-1699,1649 - Paris (France),Excluded — no locatable site identified,research_findings excluded 1e74801c-0d7c-4c47-b4bc-63198497cbdc,
1600-1699,1649 - Plounévez-Quentin (France),Excluded — no locatable site identified,research_findings excluded 4893db0f-181b-44fd-9e50-0a6ae53ff18e,
1600-1699,"March 20, 1651 - Turin (Italy)",Excluded — no locatable site identified,research_findings excluded dc5d5fb8-e069-49e6-8976-985faf607cd2,
1600-1699,1652 - Coromoto (Venezuela),Queued for approval (cross-page duplicate: same shrine already surfaced by an earlier general research pass),research_findings candidate 40707a06-4e35-4884-9c5c-89deb7130cfe,
1600-1699,1652 - Campénéac (France),Excluded — no locatable site identified (new excluded record written this pass — entry was missing from the prior research batch entirely),research_findings excluded 7bf767b7-07c5-4ed0-ae88-00b3ceebede2,
1600-1699,"Aug 15, 1652 - La Prénessaye, Querrien, Bretania, diocese of Saint-Brieuc (France)",Queued for approval (dedicated MiracleHunter subpage link already present),research_findings candidate bc12da04-c4f9-4db7-adc1-98a53acaa103,
1600-1699,"July 2, 1654 - Colere (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 17372808-aee0-41f8-b23f-8cf49b25b514,
1600-1699,"1655 - Pieve di Rosa, San Vito al Tagliamento (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7849bcf2-75d1-401c-81a0-7e5df720f7ae,
1600-1699,March 25 (1649/1657) - Les Plantees (France),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 3e8df914-1d93-414a-add0-1ab6dde68510,
1600-1699,"1660 - Ancienne Lorette, Quebec (Canada)",Excluded — no locatable site identified,research_findings excluded 1390bec7-4006-4427-8c98-90c5eb7f7c8b,
1600-1699,1660 - Malta,Excluded — no locatable site identified,research_findings excluded df5ae832-677c-45d4-b542-f4a186081e4a,
1600-1699,1660 - Trun (Switzerland),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 08382fbd-81f0-4753-9da9-12219d2f5fd4,
1600-1699,"1661 - Mariahilfberg, Gutenstein (Austria)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 9ed07ab5-2808-4d1e-9280-e17baef205b2,
1600-1699,1663 - Birkenstein (Germany),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate ec4b6f90-2da7-4b54-a262-806a078aca01,
1600-1699,1664 - Le Laus (France),"Approved, in sites (proposed_modification research row pending separate review, no action needed here — tag and link already complete)",https://orbisdei.org/site/fr-saint-etienne-le-laus-sanctuary-of-our-lady-of-laus,
1600-1699,1665 - Agreda (Spain),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c7d6d8fb-e3ae-4043-8172-b52d4d6851ca,maria-de-agreda
1600-1699,1667 - Mary Tax (Austria),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c8b3e389-d136-4238-a641-6045fdef7f80,
1600-1699,1664-1727 - Mercatello sul Matauro,Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c35349df-7ae9-4f66-8b4d-261d2ebf8a35,veronica-giuliani
1600-1699,April 1668 - Pancole (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 8d9bd74c-bad4-4713-8fce-aa073546e595,
1600-1699,"April 18,1671 - San Bartolomeo al Mare (Italy)",Queued for approval (within-page duplicate of the July 1608 San Bartolomeo al Mare entry above — same shrine),research_findings candidate 1fa238cd-36b6-4910-8cfd-ee5c4bdabba3,
1600-1699,"1673 - Janots, Paray-Le-Monial / Lauthecour (France)",Excluded — no locatable site identified,research_findings excluded ac2e50b5-a808-40ee-8642-a8c86307b7b9,
1600-1699,"c.1673 - Agnie, Québec (Canada)",Excluded — no locatable site identified,research_findings excluded dbb16eb0-2174-448a-ad45-1ee93e549ef5,
1600-1699,"March 26, 1675 - Bianzone (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 64362272-a754-4739-9a8c-009703e243fe,
1600-1699,1675 - Pochayiv (Ukraine),"Queued for approval (cross-page duplicate: same candidate record already cited on the 1100-1199 CSV as the founding-apparition entry; this page's 1675 Zbarazh War apparition is a second, later event at the same monastery, already documented in the candidate's own description)",research_findings candidate 151b4c13-f44c-48a5-ba6a-5363e9f073e9,
1600-1699,"1677 - Alcobendas, España",Excluded — no locatable site identified,research_findings excluded 5f890ab6-2e6f-4759-b6dd-b59756f6f868,
1600-1699,"April 17, 1677 - Torre di Ruggiero (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 959f5d98-df51-4bb2-bddb-045f8f33b377,
1600-1699,"May 28, 1686 - Celles, Ariege (France)",Not previously ingested — written as new lead this pass (lower confidence — MiracleHunter's own detailed text names no resulting built structure; flagged for review),research_findings lead 51d57c2b-5dc4-4d7c-a6e0-ad2bdd5fd234,
